Curriculum ID,Curriculum Title,Domain ID,Domain Description,Active,Date Created,Curriculum Description,Force Incomplete,Item Type,Item ID,Item Revision Date,Revision Number,Item Title,Assignment Type,Initial Period (Item),Initial Number (Item),Initial Basis (Item),Retraining Period (Item),Retraining Number (Item),Retraining Basis (Item),Effective Date,Job Code ID,Job Description,Requirement (Requirements),Initial Period (Requirement),Initial Number (Requirement),Initial Basis (Requirement),Retraining Period (Requirement),Retraining Number (Requirement),Retraining Basis (Requirement),Requirement (Requirement Group),Initial Period (Requirement Group),Initial Number (Requirement Group),Initial Basis (Requirement Group),Retraining Period (Requirement Group),Retraining Number (Requirement Group),Retraining Basis (Requirement Group),Requirement (Group Requirements),Description,Document ID,Document Title,Review Flag,Sub-Curriculum ID,Sub-Curriculum Title,Sub-Curriculum Parent ID,Sub-Curriculum Level
PGM-RMT-QACQ_ASP_TRNG,PGM-RMT-QACQ_ASP_TRNG: Additional Special CQ Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_HAZWASTE_AWARE,3/5/2019 12:00 PM America/New York,6,Hazardous Waste Awareness Training,Required,Days,90,Event,Days,365,Event,3/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ASP_TRNG,PGM-RMT-QACQ_ASP_TRNG: Additional Special CQ Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-SF_S8000_0109,8/13/2018 04:59 PM America/New York,2,Hazardous Waste Contingency Plan,Required,Days,90,Event,Days,365,Event,9/5/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ASP_TRNG,PGM-RMT-QACQ_ASP_TRNG: Additional Special CQ Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-EN_S7100_0726,8/13/2018 04:54 PM America/New York,2,Waste Chemical Disposal System,Required,Days,90,Event,Days,730,Event,9/5/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS,PGM-RMT-QACQ_BLP_GLASS: Glassware Cleaning and Use in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_GLASS_SG,4/24/2013 12:00 AM America/New York,1,Use and Cleaning of Glassware in the CQ Laboratory Student Guide,Required,Days,90,Event,,,,4/27/2013,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS,PGM-RMT-QACQ_BLP_GLASS: Glassware Cleaning and Use in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_GLASS_TQ,4/24/2013 12:00 AM America/New York,1,Use and Cleaning of Glassware in the CQ Laboratory,Required,Days,90,Event,,,,4/27/2013,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS,PGM-RMT-QACQ_BLP_GLASS: Glassware Cleaning and Use in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_PR2630416,9/9/2019 12:00 AM America/New York,1,Contamination and Good Lab Practice,Required,Days,30,Event,,,,9/10/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS,PGM-RMT-QACQ_BLP_GLASS: Glassware Cleaning and Use in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0144,1/2/2019 09:07 AM America/New York,2,"Laboratory Glassware Usage, Manual Cleaning and Storage",Required,Days,90,Event,Days,730,Event,1/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS_I,PGM-RMT-QACQ_BLP_GLASS_I: Use and Cleaning of Glassware in the CQ Laboratory (instructor),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0144,1/2/2019 09:07 AM America/New York,2,"Laboratory Glassware Usage, Manual Cleaning and Storage",Required,Days,90,Event,Days,730,Event,1/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS_I,PGM-RMT-QACQ_BLP_GLASS_I: Use and Cleaning of Glassware in the CQ Laboratory (instructor),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_PR2630416,9/9/2019 12:00 AM America/New York,1,Contamination and Good Lab Practice,Required,Days,30,Event,,,,9/10/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS_I,PGM-RMT-QACQ_BLP_GLASS_I: Use and Cleaning of Glassware in the CQ Laboratory (instructor),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_GLASS_SG,4/24/2013 12:00 AM America/New York,1,Use and Cleaning of Glassware in the CQ Laboratory Student Guide,Required,Days,90,Event,,,,4/27/2013,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS_I,PGM-RMT-QACQ_BLP_GLASS_I: Use and Cleaning of Glassware in the CQ Laboratory (instructor),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_GLASS_TQ,4/24/2013 12:00 AM America/New York,1,Use and Cleaning of Glassware in the CQ Laboratory,Required,Days,90,Event,,,,4/27/2013,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_GLASS_I,PGM-RMT-QACQ_BLP_GLASS_I: Use and Cleaning of Glassware in the CQ Laboratory (instructor),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_BLP_GLASS_IG,4/24/2013 12:00 AM America/New York,1,Use and Cleaning of Glassware in the CQ Laboratory Instructor Guide,Required,Days,90,Event,,,,4/27/2013,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_HM,PGM-RMT-QACQ_BLP_HM: Heavy Metal Testing in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_HM_SG,7/26/2019 12:00 PM America/New York,2,Heavy Metal Testing in the CQ Laboratory (Student Guide),Required,Days,90,Event,,,,7/31/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_HM,PGM-RMT-QACQ_BLP_HM: Heavy Metal Testing in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_HM_TQ,7/20/2015 12:00 AM America/New York,1,Heavy Metal Testing: Task Qualification,Required,Days,90,Event,,,,7/23/2015,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_HM_IG,PGM-RMT-QACQ_BLP_HM_IG: Heavy Metal Testing (Instructor Guide),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_HM_SG,7/26/2019 12:00 PM America/New York,2,Heavy Metal Testing in the CQ Laboratory (Student Guide),Required,Days,90,Event,,,,7/31/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_HM_IG,PGM-RMT-QACQ_BLP_HM_IG: Heavy Metal Testing (Instructor Guide),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_BLP_HM_IG,7/26/2019 12:00 PM America/New York,2,Heavy Metal Testing in the CQ Laboratory (Instructor Guide),Required,Days,90,Event,,,,7/31/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_HM_IG,PGM-RMT-QACQ_BLP_HM_IG: Heavy Metal Testing (Instructor Guide),PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_HM_TQ,7/20/2015 12:00 AM America/New York,1,Heavy Metal Testing: Task Qualification,Required,Days,90,Event,,,,7/23/2015,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_ISOLT,PGM-RMT-QACQ_BLP_ISOLT: Use of the Isolator Glove Box in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_BLP_ISOLT_PP,6/5/2019 12:00 PM America/New York,4,Use of the Isolator in the CQ Laboratory Presentation,Required,Days,90,Event,,,,6/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_ISOLT,PGM-RMT-QACQ_BLP_ISOLT: Use of the Isolator Glove Box in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_ISOLT_TQ,9/15/2016 12:00 AM America/New York,3,Use of the Isolator Glove Box in the CQ Laboratory Qualification Checklist,Required,Days,90,Event,,,,9/16/2016,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_ISOLT,PGM-RMT-QACQ_BLP_ISOLT: Use of the Isolator Glove Box in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_S8000_0002,6/6/2019 09:30 AM America/New York,4,Active Pharmaceutical Ingredient (API) Raw Material and API Solutions Safe Handling Program,Required,Days,90,Event,Days,365,Event,6/25/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_ISOLT,PGM-RMT-QACQ_BLP_ISOLT: Use of the Isolator Glove Box in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_INST_BAL_TQ,5/10/2018 12:00 PM America/New York,7,Analytical Balance Usage in the Chemical Quality Laboratory,Required,Days,90,Event,,,,5/11/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_ISOLT,PGM-RMT-QACQ_BLP_ISOLT: Use of the Isolator Glove Box in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SOP-87181,7/16/2019 02:17 AM America/New York,2,Chemistry Laboratory Potent Drug Isolators Operating and Cleaning Procedure,Required,Days,90,Event,Days,730,Event,4/24/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_PH_TQ,PGM-RMT-QACQ_BLP_PH_TQ: pH Testing (Non-Versa Star) in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_BLP_PH_TQ,2/27/2017 12:00 AM America/New York,1,pH Testing (Non-Versa Star) in the CQ Laboratory Task Qualification,Required,Days,90,Event,,,,3/7/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_PH_TQ,PGM-RMT-QACQ_BLP_PH_TQ: pH Testing (Non-Versa Star) in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0031,5/28/2019 03:29 PM America/New York,3,Operation of the pH Meters,Required,Days,90,Event,Days,730,Event,6/2/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TITR,PGM-RMT-QACQ_BLP_TITR: Performing Manual Titrations in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_TITR_PP,1/19/2018 12:00 PM America/New York,1,Performing Manual Titrations in the CQ Laboratory,Required,Days,90,Event,Days,730,Event,2/9/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TITR,PGM-RMT-QACQ_BLP_TITR: Performing Manual Titrations in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0190,4/2/2019 03:48 PM America/New York,6,"Terms, Clarifications and General Lab Practices and Techniques for the CQ Laboratories",Required,Days,90,Event,Days,730,Event,4/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TITR,PGM-RMT-QACQ_BLP_TITR: Performing Manual Titrations in the CQ Lab,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_TITR_TQ,1/19/2018 12:00 PM America/New York,3,Performing Manual Titrations in the CQ Laboratory Qualification Checklist,Required,Days,90,Event,,,,2/9/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TLC,PGM-RMT-QACQ_BLP_TLC: TLC Technique and Testing in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_BLP_TLC_PP,6/11/2018 12:00 PM America/New York,1,Thin Layer Chromatography (TLC):  Technique and Testing in the CQ Laboratory,Required,Days,90,Event,,,,6/13/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TLC,PGM-RMT-QACQ_BLP_TLC: TLC Technique and Testing in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0190,4/2/2019 03:48 PM America/New York,6,"Terms, Clarifications and General Lab Practices and Techniques for the CQ Laboratories",Required,Days,90,Event,Days,730,Event,4/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_BLP_TLC,PGM-RMT-QACQ_BLP_TLC: TLC Technique and Testing in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_BLP_TLC_TQ,6/11/2018 12:00 PM America/New York,2,Thin Layer Chromatography (TLC):  Technique and Testing in the CQ Laboratory,Required,Days,90,Event,,,,6/13/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_CAPA,PGM-RMT-QACQ_CAPA: CQ Module for CAPA's,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_SMP_SOL_RET,11/16/2018 12:00 PM America/New York,2,Samples / Solutions Retention in the CQ Laboratory,Required,Days,90,Event,Days,365,Event,11/28/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_CAPA,PGM-RMT-QACQ_CAPA: CQ Module for CAPA's,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_SOL_MIX,3/11/2015 12:00 AM America/New York,1,Solution Mixing - General Requirements,Required,Days,90,Event,Days,365,Event,3/13/2015,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_CDA,PGM-RMT-QACQ_COMP_CDA: CQ Laboratory Controlled Drug Agent Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_COMP_CDA_TQ,1/30/2019 12:00 PM America/New York,3,Controlled Drug Agent Training for the CQ Laboratory Qualification Checklist,Required,Days,90,Event,,,,1/31/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_CDA,PGM-RMT-QACQ_COMP_CDA: CQ Laboratory Controlled Drug Agent Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_COMP_CDA_PP,9/7/2018 12:00 PM America/New York,4,Controlled Drug Agent Training for the CQ Laboratory,Required,Days,90,Event,,,,10/3/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_CDA,PGM-RMT-QACQ_COMP_CDA: CQ Laboratory Controlled Drug Agent Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QA_S6100_0031,5/28/2019 09:08 AM America/New York,6,Controlled Substance Handling,Required,Days,90,Event,Days,730,Event,6/11/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_CDA,PGM-RMT-QACQ_COMP_CDA: CQ Laboratory Controlled Drug Agent Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QATS_S6133_0033,9/11/2018 02:43 PM America/New York,4,Technical Lab Services Procedures for Controlled Substances,Required,Days,90,Event,Days,730,Event,10/3/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_NCDA,PGM-RMT-QACQ_COMP_NCDA: Controlled Drug Handling for Non-CDAs in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_COMP_NCDA_PP,11/8/2018 12:00 PM America/New York,6,Controlled Drug Handling for Non-CDAs in the CQ Laboratory,Required,Days,90,Event,,,,11/15/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_NCDA,PGM-RMT-QACQ_COMP_NCDA: Controlled Drug Handling for Non-CDAs in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_COMP_NCDA_TQ,1/30/2019 12:00 PM America/New York,3,Controlled Drug Handling for Non-CDAs in the CQ Laboratory Qualification Checklist,Required,Days,90,Event,,,,1/31/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_NCDA,PGM-RMT-QACQ_COMP_NCDA: Controlled Drug Handling for Non-CDAs in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QA_S6100_0031,5/28/2019 09:08 AM America/New York,6,Controlled Substance Handling,Required,Days,90,Event,Days,730,Event,6/11/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_COMP_NCDA,PGM-RMT-QACQ_COMP_NCDA: Controlled Drug Handling for Non-CDAs in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QATS_S6133_0033,9/11/2018 02:43 PM America/New York,4,Technical Lab Services Procedures for Controlled Substances,Required,Days,90,Event,Days,730,Event,10/3/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DATAINSTRUCT,PGM-RMT-QACQ_DATAINSTRUCT: CQ Lab Data Review Instructor,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_GDP_DR_IG,8/12/2019 12:00 PM America/New York,6,Data Review Training in the CQ Laboratory Instructor Guide,Required,Days,90,Event,,,,9/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DIONEX,PGM-RMT-QACQ_DIONEX: Operation of the Dionex ION Chromatograph and Chromeleon 7 Software,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0335,9/10/2019 11:07 AM America/New York,4,Evaluation and Investigation of Trace Unidentified Chromatographic Peaks,Required,Days,90,Event,Days,730,Event,10/1/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DIONEX,PGM-RMT-QACQ_DIONEX: Operation of the Dionex ION Chromatograph and Chromeleon 7 Software,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0321,3/12/2018 07:50 AM America/New York,3,Operation of the Dionex ION Chromatograph Model ICS-2100 and the Chromeleon 7 Software,Required,Days,90,Event,Days,730,Event,3/21/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DOC_SP,PGM-RMT-QACQ_DOC_SP: Rocky Mount CQ Documentation Specialist,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QA_S6100_0243,3/14/2019 11:15 AM America/New York,2,Compendial Monitoring and Support Program,Required,Days,90,Event,Days,730,Event,4/2/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DOC_SP,PGM-RMT-QACQ_DOC_SP: Rocky Mount CQ Documentation Specialist,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0334,9/19/2018 03:55 PM America/New York,3,"Sourcing, Certification, and Distribution of Non-Compendial Reference Standards",Required,Days,90,Event,Days,730,Event,11/2/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DOC_SP,PGM-RMT-QACQ_DOC_SP: Rocky Mount CQ Documentation Specialist,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0302,8/8/2019 04:23 PM America/New York,6,"Labeling and Expiration Dating of Laboratory Reagents, Solutions and Standard Solutions",Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_DOC_SP,PGM-RMT-QACQ_DOC_SP: Rocky Mount CQ Documentation Specialist,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_SOP-88118,6/10/2017 12:39 PM America/New York,1,Analytical Methodology at Pfizer Rocky Mount,Required,Days,90,Event,Days,730,Event,6/28/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
